2013-08-02 00:00:04.382 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:00:09.382 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:00:14.382 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:00:19.383 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:00:24.382 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:00:29.382 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:00:34.383 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:00:39.382 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:00:44.382 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:00:49.383 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:00:54.382 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:00:59.382 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:01:04.382 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:01:09.383 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:01:14.382 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
